Node;Name;OID;MIB;Syntax;Access;Status;Descr;UMS WEB Parameter;Remarks;
;auPowerSupplyOverTemperature; .1.3.6.1.4.1.15921.60.1.2.402; MAX-PRO-ALARM-MIB;/;/; current; The alarm will occur while power supply in high temperature.;Environmental Alarm;"1. Check if there is FAN alarm
2. Check the environment temperature, need to guarantee the environment temperature no more than 45 degree
3. Check the mechanical of the device, make sure there is no dust in the device
4. Keeps some clearance (20cm) of the device";
;auPowerSupplyInputUnderVoltage; .1.3.6.1.4.1.15921.60.1.2.403; MAX-PRO-ALARM-MIB;/;/; current; The alarm will occur while DC input power<38V or AC  input power<100V.;Environmental Alarm;"1. Check the input power voltage range
2. Check the connection of the power socket
3. Replace the module";
;auOverTemperature; .1.3.6.1.4.1.15921.60.1.2.404; MAX-PRO-ALARM-MIB;/;/; current; The detected temperature greater than overtemperature threshold.;Environmental Alarm;"1. Check if there is FAN alarm
2. Check the environment temperature, need to guarantee the environment temperature no more than 45 degree
3. Check the mechanical of the device, make sure there is no dust in the device
4. Keeps some clearance (20cm) of the device";
;auFanFault; .1.3.6.1.4.1.15921.60.1.2.405; MAX-PRO-ALARM-MIB;/;/; current; The alarm will occur while any one of FANs(totally 4) in AU fail.;Device Alarm;"1. Check the connection of the FAN
2. Replace the related FAN module";
;auCpriLinkTxFault; .1.3.6.1.4.1.15921.60.1.2.406; MAX-PRO-ALARM-MIB;/;/; current;" Indicates one of the following SFP problems :TX/RX levels, Temperature,
TX/RX fault, TX/RX disable, absence (removing the SFP from the cage) .";Link Alarm;"1. Check if a fiber optic cable is disconnected, make sure the connection is stable
2. Check if SFP problem- try to replace with another SFP
3. Clean fiber optic cable/connector";
;auCpriLinkRxFault; .1.3.6.1.4.1.15921.60.1.2.407; MAX-PRO-ALARM-MIB;/;/; current;" Indicates one of the following SFP problems :TX/RX levels, Temperature,
TX/RX fault, TX/RX disable, absence (removing the SFP from the cage) .";Link Alarm;"1. Check if a fiber optic cable is disconnected, make sure the connection is stable
2. Check if SFP problem- try to replace with another SFP
3. Clean fiber optic cable/connector";
;auCpriSyncFault; .1.3.6.1.4.1.15921.60.1.2.408; MAX-PRO-ALARM-MIB;/;/; current; Indicates the SFP Synthesizer failure.;Link Alarm;"1. Check if a fiber optic cable is disconnected 
2. Check if SFP problem- try to replace with another SFP
3. Clean fiber optic cable/connector
4. Check if the pair of SFPs are in same type
5. Check the software version and its release note for the limitation";
;auCpriLinkFault; .1.3.6.1.4.1.15921.60.1.2.409; MAX-PRO-ALARM-MIB;/;/; current; Indicates the SFP link failure.;Link Alarm;"1. Check if the fiber optic cable is disconnected 
2. Check if the Sync fault
2. Check if SFP problem - try to replace with another SFP
3. Clean fiber optic cable/connector
4. Check if the pair of SFPs are in same type
5. Check the software version and its release note for the limitation";
;auCpriOverTemperature; .1.3.6.1.4.1.15921.60.1.2.410; MAX-PRO-ALARM-MIB;/;/; current; Indicates the SFP is in high temperature.;Environmental Alarm;"1. Check if the device has the over temperature alarm, and deal with OverallAlarm 
2. Check the SFP install  
3. Change the SFP ";
;auCpriManufacturerInvalid; .1.3.6.1.4.1.15921.60.1.2.411; MAX-PRO-ALARM-MIB;/;/; current; Indicates the SFP is not certificated by manufactured .;Application Alarm;1. Change the SFP to the valid brand  ;
;auHardwareFault; .1.3.6.1.4.1.15921.60.1.2.412; MAX-PRO-ALARM-MIB;/;/; current; The alarm will occur while hardware is fail.;Device Alarm;"1. Check if any other alarms are occurred
2. Reboot the device
3. Change the device if hardware is fail";
;auSynthesizerUnlocked; .1.3.6.1.4.1.15921.60.1.2.413; MAX-PRO-ALARM-MIB;/;/; current; Indicates the system Synthesizer failure.;Device Alarm;"1.Reset the device
2.Update the device to latest software version
3. Replace the device
4. Check if the equipment mode is set to slave DCU
5. Check the SFP related alarm";
;auSystemOverTimeDelay; .1.3.6.1.4.1.15921.60.1.2.415; MAX-PRO-ALARM-MIB;/;/; current; AU system over time delay , the system delays more than 60us.;Application Alarm;"1.Check the delay threshold no more than 60us
2. Check the fiber link connections
3. Check the total fiber length, which is no more than 10km 
4. Rebootthe device
5. Replace the device";
;auDLInputOverPowerInChannel; .1.3.6.1.4.1.15921.60.1.2.416; MAX-PRO-ALARM-MIB;/;/; current; The DL input power is more than threshold(10dBm as default value).;Environmental Alarm;"1. Please check the input  power
2. Adjust the suitable attenuator on the input port of RIU
3. Check the RF input connection between RIU and AU
4. Change the AU";
;auBaselineBaselineDismatch; .1.3.6.1.4.1.15921.60.1.2.417; MAX-PRO-ALARM-MIB;/;/; current; The system topology changes, it is different from the baseline .;Application Alarm;"1. Check if any topology changes comparing to the baseline 
2. Check if the fiber connection is stable";
;auVersionMismatch; .1.3.6.1.4.1.15921.60.1.2.418; MAX-PRO-ALARM-MIB;/;/; current; Module version not match to system version.;Application Alarm;"1. Please check the device version and system version
2. Please check the release note for the version match";
;auServiceOff; .1.3.6.1.4.1.15921.60.1.2.419; MAX-PRO-ALARM-MIB;/;/; current; Device service off .;Service Alarm;"1. Check the other alarms in the device
2. Try clear the related alarm
3. Check the carrier, radio switch config
4. Reboot the device
5. Change the device if hardware issue";
;auTddNrSyncLoss; .1.3.6.1.4.1.15921.60.1.2.420; MAX-PRO-ALARM-MIB;/;/; current; Only in TDD NR band, indicates the TDD NR sync failure.;Environmental Alarm;"1. Check the input signal config , make sure it is correct config 
2. Check the input level, it needs to fit the input signal level range";
;auTddLteSyncLoss; .1.3.6.1.4.1.15921.60.1.2.421; MAX-PRO-ALARM-MIB;/;/; current; Only in TDD LTE band , indicates the TDD LTE sync failure.;Environmental Alarm;"1. Check the input signal config , make sure it is correct config 
2. Check the input level, it needs to fit the input signal level range";
;auHeartbeat; .1.3.6.1.4.1.15921.60.1.2.422; MAX-PRO-ALARM-MIB;/;/; current; Heartbeat.;Link Alarm;;
fileOperator;fileOperatorReport; .1.3.6.1.4.1.15921.60.1.3.1; MAX-PRO-ALARM-MIB;/;/; current; file operator report;;;
